Programme,Etudiant_Directeur,Titre_Projet,Manuscrit_soumis,Grade_obtenu
Bio-informatique,Martin Smith / Gertraud Burger / co : Barbara Papadopoulou / et Mathieu Blanchette,Insights into the function of short interspersed degenerated retroposons in the protozoan parasite Leishmania,07/04/2008,01/05/2008
Bio-informatique,Pascal St-Onge / Daniel Sinnett,Détection et caractérisation des interactions dans les maladies complexes,19/03/2008,01/05/2008
Bio-informatique,François Gauthier / Pavel Hamet / co: Ettore Merlo,Analyse de descendances ; une approche bio-informatique pour estimer le risque d’hypertension et d’obésité,01/02/2008,13/03/2008
Bio-informatique,Félix Doyon / Serguei Chteinberg,Etude des interactions entre les boucles D et T chez les ARNs de transfert (ARNts),21/01/2008,13/03/2008
Bio-informatique,Diala Abd Rabbo / Christine Maugard,Étude du transcriptome des cellules non tumorales de l’épithélium de surface de l’ovaire des femmes porteuses d’une mutation des gènes BRCA1 et BRCA2,02/11/2009,03/12/2009
Bio-informatique,Caroline Louis-Jeune / François Major,Représentation et recherche de motifs cycliques et structuraux d’ARN connus dans les structures secondaires,03/09/2009,08/10/2009
Bio-informatique,Amandine Bemmo / Miklos Csuros / Co : Jacek Majewski,Performances de la puce exon et son application dans l’analyse de l’épissage alternatif associé à la métastase du cancer du sein,25/08/2009,05/11/2009
Bio-informatique,Marie Pier Scott-Boyer / Sébastien Lemieux,Annotation des ARN non codants du génome du Candida albicans par méthode bio-informatique,05/06/2009,09/07/2009
Bio-informatique,Julie Hussin / Damian Labuda,Classes alléliques d’haplotypes et sélection positive dans le génome humain,20/04/2009,04/06/2009
Bio-informatique,Zia Mohaddes / Sylvie Hamel,Modeling protein évolution using secondary structures,22/11/2010,03/02/2011
Bio-informatique,Emilio Damian Vello / Damian Labuda,La cartographie des sites de régulation génétique à partir de données de débalancement allélique,02/11/2011,05/01/2012
Bio-informatique,Asma Boufaden / Sylvie Mader / co : François Major,Prédiction de boucles de régulation associant microarn et gènes régulées par le récepteur de l’acide retinoïque dans le cancer du sein,03/10/2011,03/11/2011
Bio-informatique,Éloi Mercier / Raphaël Gottardo,Développement d’outils pour l’analyse de données de CH1P-SEQ pour l’identification des facteurs de transcription,20/09/2011,01/12/2011
Bio-informatique,Jean-Christophe Grenier / Hervé Philippe,Phylogénomique des Archées,18/08/2011,06/10/2011
Bio-informatique,François Lefebvre / Sébastien Lemieux,Comparaison des méthodes d’analyse de l’expression différentielle basée sur la dépendance des niveaux d’expression,14/07/2011,03/11/2011
Bio-informatique,Alexandre Bramoullé / Pierre Thibault,Identification des peptides du complexe majeur d’histocompatibilité de classe I par spectrométrie de masse,15/05/2011,07/07/2011
Bio-informatique,Lucien Fabre / François Major,Étude structurale conformationnelle des toxines de l’anthrax par cryomycroscopie et dynamique moléculaire,11/04/2011,05/05/2011
Bio-informatique,Louis-Philip Benoit-Bouvrette / Miklos Csuros,Analyse de la corrélation conditionnelle dérivée de la coévolution d’un système de trois gènes par un modèle de maximum de vraisemblance,18/03/2011,05/05/2011
Bio-informatique,Fatou Tao / Serguei Chteinberg,Structural rules fot the formation of backbone-backbone interactions between closely packed RNA double helices,10/09/2013,10/12/2013
Bio-informatique,Raphaël Poujol / Nicolas Lartillot,Estimation des corrélations phylogénétiques entre paramètres d’évolution moléculaire et traits d’histoire de vie,12/02/2013,01/03/2013
Bio-informatique,Jacques Boisvert / Paul Maddox / Sébastien Lemieux-co,A robust algorithm for segmenting fluorescence images and its application to single-molecule counting,07/10/2014,19/02/2015
Bio-informatique,Alain Pacis / Luis Barreiro,"Dynamic epigenetic changes in immune responses to
infection in human dendritic cells",26/08/2014,19/02/2015
Bio-informatique,Eric Fournier / Hervé Philippe,Évolution moléculaire : Un modèle Markov-modulé pour les processus de substitution,12/02/2014,20/05/2014
Bio-informatique,Séton Steven Bocco / Miklos Csuros,Évolution à fine échelle des sites d’épissage des introns dans les gènes des oomycètes,2015-10-06,2016-03-17
Bio-informatique,Marie Armande Ang Houle / Philip Awadalla,Typage de la classe génotypique du gène PRDM9 à partir de données de Séquençage de Nouvelle Génération,2015-09-03,2016-03-17
Bio-informatique,Jean-François Théroux / B. Franz Lang,Développement de méthodes d’assemblage de génomes de novo adaptées aux bactéries endosymbiotes,2015-07-23,2015-10-15
Bio-informatique,Benjamin Matala / Stephen Michnick,Une correction à l’échelle et progressive des données Hi-C révèlent des principes fondamentaux de l’organisation tridimentionnelle et fonctionnelle du génome,2016-10-16,2017-03-30
Bio-informatique,Sarah Cherkaoui / / Christine Des Rosiers,Développement d’une méthode bio-informatique permettant de relier les gènes aux métabolites,2016-01-18,2016-03-17
Bio-informatique,Amell El Korbi / / François Major,Identification de caractéristiques communes et rares des ARN structurés dans la base de données RFAM,2016-01-08,2016-03-17
Bio-informatique,Assya Trofimov / Claude Perreault,Étude des signatures géniques dans un contexte d’expériences de RNA-Seq,2017-12-13,2018-03-12
Bio-informatique,Yann Ilboudo / Guillaume Lettre,"The Genetics of Red Blood Cell Density, a Biomarker of Clinical Severity in Sickle Cell Disease",2017-03-13,2017-05-01
Bio-informatique,Paméla Mehanna / Daniel Sinnett,Caractérisation du microDNome et sa modulation par le traitement anti-cancer,2017-02-10,2017-05-01
Bio-informatique,Olivier Tastet / Luis Barreiro,Contrôle génétique de l’épissage alternatif dans le contexte de la réponse immunitaire innée,2018-12-10,2019-03-07
Bio-informatique,Anh-Tien Ton / Adrian Serohijos,Multiscale Framework of Microbial Evolution to Identify Emergence of Antibiotic Resistance,2018-10-28,2019-03-07
Bio-informatique,Philippe Malric / François Major,"Prédiction et visualisation de la réactivité chimique des ARN.
Proposition d’un modèle basé sur la réactivité des cycles minimaux et des sous-structures composés de ces cycles avec le 1m7",2018-10-19,2019-03-07
Bio-informatique,Martineau Jean-Louis / Mark Samuels,Séquençage d’exomes chez des patients canadiens français atteints du syndrome d’interruption de la tige hypophysaire,2018-08-30,2019-03-07
Bio-informatique,Caroline Labelle / Sébastien Lemieux,Méthodologie pour l’analyse de données de criblage : application à l’étude de la leucémie myéloïde aiguë,2018-07-12,2018-10-11
Bio-informatique,Sandra Therrien-Laperrière / Christine Des Rosiers,Développement d’un outils bio-informatique pour l’annotation des associations entre gènes et métabolites basée sur les voies métaboliques,2018-04-16,2018-06-27
Bio-informatique,Matthew Sarrasin / Franz Lang,An Approach to Improved Microbial Eukaryotic Genome Annotation,2018-02-22,2018-05-10
Bio-informatique,Louis Gendron / / Sebastian Pechmann,Adaptation de la levure à la suite des perturbations du mécanisme de contrôle de qualité de l’ARN,2019-11-12,2020-03-18
Bio-informatique,Redha Attaoua / / Pavel Hamet,Investigation génétique de NAFLD dans le diabète de type 2 via criblage du locus PNPLA3-SAMM50 et par construction d’un modèle de prédiction de la maladie,2019-11-08,2020-03-18
Bio-informatique,Cédric Roux / Daniel Sinnett / ,Classification moléculaire des Tumeurs de Wilms par analyse RNA-Seq,2020-12-08,à venir
Bio-informatique,Sébastian Méric De Bellefon / Guillaume Lettre,Développement de méthodes bio-informatiques pour la découverte de variants codants et non codants dans le cadre des traits sanguins,2020-10-15,à venir
Bio-informatique,Pedro Do Couto Bordignon / Sebastian Pechmann / ,An Analysis of Translation Heterogeneity in Ribosome Profiling Data,2020-03-11,à venir
